ב	129	ג	97	ג	65	ד	33	ד	1
ג	130	ב	98	א	66	ג	34	א	2
א	131	ב	99	א	67	ג	35	ג	3
ב	132	ד	100	א	68	א	36	ד	4
א	133	ב	101	ד	69	ד	37	ב	5
ב	134	א	102	ג	70	ד	38	א	6
ב	135	ב	103	א	71	א	39	ב	7
ג	136	ג	104	ב	72	א	40	ב	8
ג	137	ד	105	ב	73	א	41	א	9
א	138	ב	106	א	74	ג	42	ג	10
ג	139	א	107	א	75	ד	43	ג	11
ג	140	ג	108	א	76	ד	44	ד	12
ב	141	א	109	ג	77	ד	45	ד	13
א	142	ב	110	ב	78	א	46	א	14
ב	143	ד	111	ג	79	ב	47	ב	15
ג	144	ב	112	ג	80	ב	48	א	16
ד	145	ב	113	ב	81	ב	49	ב	17
ב	146	ד	114	ג	82	א	50	ב	18
א	147	ד	115	ב	83	ד	51	ג	19
ג	148	ג	116	א	84	א	52	א	20
ד	149	ג	117	ג	85	ג	53	ד	21
ב	150	א	118	ד	86	ד	54	ג	22
ב	151	ג	119	ב	87	ד	55	א	23
א	152	א	120	ב	88	ג	56	ד	24
ג	153	ד	121	ב	89	ד	57	ב	25

א	154	א	122	א	90	ד	58	ד	26
א	155	ב	123	ד	91	ב	59	ב	27
ב	156	ג	124	ב	92	ג	60	ג	28
ד	157	ג	125	ב	93	ד	61	ד	29
ד	158	ב	126	ד	94	ד	62	ד	30
ג	159	ג	127	ב	95	ב	63	ב	31
ד	160	ב	128	ד	96	ד	64	א	32


ב	205	ד	194	ד	183	א	172	ב	161
ב	206	א	195	ג	184	ג	173	א	162
ג	207	ד	196	ד	185	א	174	ג	163
ב	208	א	197	א	186	ד	175	ב	164
ב	209	א	198	ב	187	ד	176	ד	165
ד	210	ד	199	ד	188	ב	177	א	166
ג	211	ג	200	ד	189	ב	178	א	167
א	212	ב	201	ג	190	א	179	ד	168
ג	213	א	202	א	191	ב	180	ג	169
ב	214	ד	203	ד	192	ד	181	א	170
ד	215	ג	204	א	193	ב	182	ג	171


ד	234	ב	229	א	224	ג	220	א	216
ג	235	ב	230	ד	225	ד	221	ב	217
ה	236	ג	231	ד	226	ב	222	ב	218
ג	237	א	232	ב	227	ד	223	ד	219
ב	238	ד	233	א	228	ג	220	א	216

						ג	242	ג	239
						ד	243	ג	240
